pdb_id,dE12,DIPB,APBS,REG,C-DIPB,C-APBS,C-DelPhi,dE23_DIPB,dE23_APBS,dE23_DelPhi
1OK0,38.98262864071883,-2533.793564416662,-232.156456659608,-876.0440111767969,-900.4138569193361,-1154.2993766585162,-1109.263561359281,-939.396485560055,-1193.282005299235,-1148.24619
1TG0,-32.43459635839966,-227.5786136990517,-4080.913278910134,-2458.148716064701,-2490.816998763457,-2763.367084632788,-2705.755680358409,-2458.382402405057,-2730.932488274379,-2673.321084
1TQG,675.5335867232978,-904.5017760263937,-1247.66916975956,-1244.596698586536,-1289.371184056452,-1680.4689820006315,-1602.612437276683,-1964.90477077975,-2356.002568723948,-2278.146024
1VB0,56.91253586764719,-2592.791358152778,-514.1230359543499,-615.3080283248177,-643.5496501295805,-919.8974847088416,-852.5526921323598,-700.4621859972277,-976.8100205764817,-909.4652279999999
1VBW,11.53241533281338,-2466.561380669894,-1140.308079769359,-1321.862598515535,-1352.820502051002,-1621.2968879535108,-1544.709964667182,-1364.352917383815,-1632.829303286329,-1556.24238
1W0N,-47.08008215427673,263.7370869454097,-1723.553803071702,-1385.219030487097,-1424.973311768849,-1790.8873299651991,-1728.951770154253,-1377.893229614572,-1743.807247810946,-1681.871688
1X6X,-14.95564966266153,-2984.381206055468,-403.7364624765774,-1156.971222332981,-1200.006415882692,-1626.2741472778769,-1548.860245662676,-1185.05076622003,-1611.318497615201,-1533.904596
1X8Q,-114.7074308824892,-1600.11074618984,-3424.336184667782,-1896.260807973534,-1958.325804316684,-2582.388605760587,-2473.07878888248,-1843.618373434195,-2467.681174878107,-2358.371358
1XMK,-32.39401664438615,-1861.642844668245,-808.5377915169694,-966.9455482343528,-999.9621435770864,-1329.7444737775215,-1257.484078644396,-967.5681269327002,-1297.350457133126,-1225.090062
1ZUU,1.501851945824065,-814.0287674142985,-767.0324930174473,-1017.785697804962,-1044.649589847128,-1287.3933929968173,-1240.436300054178,-1046.151441792952,-1288.895244942639,-1241.938152
1ZZK,2.329110663098265,-1485.104507140849,-1114.037425936185,-1043.049870875756,-1077.375595117511,-1383.1345683177854,-1318.146605336906,-1079.704705780609,-1385.463678980879,-1320.475716
2FMA,18.69776821084184,-486.1271372752423,-474.1961889722753,-780.5447296094445,-807.1365065547541,-1057.2290303692275,-1013.18704378916,-825.8342747655959,-1075.926798580067,-1031.884812
2FWH,62.43573439443931,-222.2786185492758,-2939.303469643881,-1344.698132167999,-1387.28764220677,-1794.6467377669037,-1720.998253605575,-1449.723376601209,-1857.082472161329,-1783.433988
2IDQ,47.95834582475123,-1433.94648917097,-3893.515791632409,-1116.82882553727,-1153.95767141401,-1490.7989508002393,-1429.888598175239,-1201.916017238761,-1538.757296625,-1477.846944
2NLS,9.125910923457479,-1144.375564432916,-223.5562967967734,-412.4272957241453,-428.3359298637308,-587.4842046836181,-552.8718890765437,-437.4618407871883,-596.6101156070745,-561.9978
2O9S,33.22037701677,-424.4325208366223,-1737.668405453155,-757.8591822689475,-785.0381096267378,-1039.9201820824076,-986.2933769832204,-818.2584866435078,-1073.140559099187,-1019.513754
2PNE,27.86437587212187,-1374.058299559077,-1614.152677235181,-458.1337983997805,-477.8924990661729,-687.4615258869579,-648.5997621278757,-505.7568749382947,-715.3259017590822,-676.4641379999999
2XOD,-20.82807842551019,633.0697641215596,-3042.235787323136,-1642.447471286998,-1691.603578855457,-2128.027132189377,-2048.603786425514,-1670.775500429947,-2107.199053763862,-2027.775708
2XOM,-3.735575444572673,-1224.334275902328,-3349.341932595602,-1697.169975869371,-1753.577218067517,-2237.7838166269244,-2132.966987444563,-1749.841642622945,-2234.048241182361,-2129.231412
3AGN,40.27335033508228,-2246.969143903848,-2509.977892067399,-2644.982165112223,-2686.750690079918,-3097.887440926868,-3025.018991664917,-2727.024040415,-3138.16079126195,-3065.292342
3E4G,-96.45960089258891,-2804.230129513836,-2407.075499706023,-1785.388045775093,-1848.760774030605,-2454.927621787923,-2342.164908892607,-1752.301173138016,-2358.468020895315,-2245.705308
3FSA,63.17716287721804,-109.3548758503639,-506.5835824075047,-1072.895024484293,-1121.057714569583,-1572.0269296452198,-1482.334553122754,-1184.234877446801,-1635.204092522466,-1545.511716
3GOE,-6.147485188610562,-2648.282134147185,-2522.332818023423,-1996.897920929577,-2044.074021716333,-2437.107783976861,-2355.44041718862,-2037.926536527722,-2430.960298788241,-2349.292932
3IP0,-33.31356674114154,-955.2174987053758,134.3376704830067,-1556.868289148431,-1605.854210975234,-2129.6595993061314,-2037.075564741123,-1572.540644234092,-2096.346032565009,-2003.761998
3KFF,-25.00645327015457,-1647.088372512814,-1017.460605422084,-2044.819657173511,-2103.946525605536,-2661.248718958566,-2575.98493927023,-2078.940072335382,-2636.242265688336,-2550.978486
3LL2,59.77099002428379,-1199.141567327907,-1261.509902963671,-913.9779233251187,-951.9561544282654,-1353.4240407904908,-1279.619593975721,-1011.727144452549,-1413.19503081477,-1339.390584
3LZT,74.86438129310194,557.3977470603044,313.5953529321224,-1431.824389282629,-1476.576967836754,-1899.2053873130264,-1781.256234706907,-1551.441349129856,-1974.069768606119,-1856.120616
3O5Q,-26.72270028491874,-2399.616683480707,-1500.423153876673,-1682.899206554614,-1736.621257397979,-2225.0502344412703,-2113.357166284961,-1709.898557113061,-2198.327534156309,-2086.634466
3PUC,8.24556470296139,-43.55615111895991,-37.27464158037763,-954.3601737942972,-990.0380202398771,-1343.5974848113785,-1273.565413297038,-998.2835849428385,-1351.84304951434,-1281.810978
3UI4,38.83904195726223,-2878.379006318712,-1052.367732037046,-1171.13645799089,-1209.665866579481,-1549.1886823419727,-1303.400024042738,-1248.504908536743,-1588.027724299235,-1342.239066
3V1A,18.56464759579928,-1297.843814439215,-555.581388919216,-590.3090627059271,-615.293762029353,-838.3378167213613,-873.1345804042006,-633.8584096251524,-856.9024643171606,-891.699228
3VOR,80.82235417752887,-3280.791498330016,1117.923308150334,-1284.887018969378,-1337.055057882501,-1899.784044101363,-1793.567631822443,-1417.87741206003,-1980.60639827892,-1874.389986
3WCQ,-2.699246997960848,-1021.54573893742,-706.8787869400095,-1697.135545551941,-1735.989871332408,-2085.0653880529226,-2019.388970997951,-1733.290624334447,-2082.366141054971,-2016.689724
3WDN,-66.96161263868433,-3183.547461941965,-3767.98889418977,-2834.136026114442,-2889.441033575623,-3365.9669519574986,-3274.352344638665,-2822.479420936938,-3299.005339318833,-3207.390732
3WGE,16.84617387443114,-3674.152726930672,-3125.220569414435,-1504.594454572929,-1551.247526464193,-1988.9783946731354,-1903.113602125573,-1568.093700338624,-2005.824568547562,-1919.959776
3X2L,63.82329585303858,175.0948014927344,-2262.615159737094,-1030.123533737071,-1070.297288847749,-1520.7785041251925,-1442.532156146942,-1134.120584700788,-1584.60179997825,-1506.355452
3X32,-12.5900747585112,-2112.675928489321,-807.955391208891,-1461.008950203737,-1500.604211653351,-1859.371409115094,-1795.526614758497,-1488.01413689484,-1846.781334356597,-1782.93654
3ZR8,-60.96011002729195,-561.3551179440069,-1579.114699719885,-1676.303159001068,-1714.127031576262,-2007.2115493007163,-1940.656208027294,-1653.166921548971,-1946.251439273422,-1879.696098
3ZSJ,135.4323208836461,-460.3726815700112,-331.8068056187858,-998.422788039516,-1045.346195808395,-1513.662423246832,-1414.064901116335,-1180.778516692041,-1649.094744130497,-1549.497222
3ZZP,31.82138062548179,-1164.382822410313,-1227.070783426864,-914.4628802513663,-948.8305271959084,-1269.1282394352356,-1204.769205374528,-980.6519078213902,-1300.949620060708,-1236.590586
4A02,48.73898731392094,265.5167421880887,-176.9762580293977,-957.3128747590359,-1004.397879837356,-1471.602913452608,-1375.922474686117,-1053.136867151277,-1520.341900766491,-1424.661462
4ACJ,-47.89325892874092,-2494.818568041102,-2966.568953396271,-2899.399272865463,-2953.79819498405,-3466.548785721284,-3386.71093692874,-2905.904936055309,-3418.655526792543,-3338.817677999999
4AQO,-80.47695093117837,-142.7039647100914,-2577.49438085564,-1164.612635285384,-1204.038635294891,-1537.8344759906952,-1468.060770931183,-1123.561684363712,-1457.357525059512,-1387.58382
4EIC,-8.203132677977305,-542.4516086445745,-1939.053458097992,-747.0561889335728,-775.4813313421939,-1084.4036412501716,-1027.420786677991,-767.2781986642166,-1076.20050857218,-1019.217654
4G78,47.3458423776928,1336.849996588747,-817.9256389830305,-1523.329064871676,-1583.881258516699,-2150.369617279133,-1964.801707622345,-1631.227100894392,-2197.715459656788,-2012.14755
4GA2,-47.68088920501179,-1698.998146940562,-2660.242183558795,-2529.892346265563,-2595.949048800695,-3207.12980587569,-3059.53902520504,-2548.268159595683,-3159.44891667065,-3011.858136
4HGU,32.89404911296152,-1645.238953913228,-1190.900798415392,-1001.899364539276,-1024.20665616218,-1212.9206362465036,-1172.813306887038,-1057.100705275141,-1245.814685359465,-1205.707356
4HS1,69.9477900210558,-1308.678512622377,-1183.978440789197,-1006.864170181121,-1043.083106116231,-1404.6398209784616,-1323.617249978939,-1113.030896137287,-1474.587610999522,-1393.56504
4MZC,8.59175655843775,-2021.424052277791,-861.9782567870458,-1260.580970743437,-1308.140336399412,-1725.406776986992,-1649.568243441581,-1316.73209295785,-1733.998533545411,-1658.16
4NPD,46.7407044764811,-1192.399444362797,-642.3784457633843,-830.2316530671352,-862.1892251590583,-1129.7327572371994,-1077.349647523528,-908.9299296355395,-1176.473461713671,-1124.090352
4O6U,123.6929604896618,50.62022928927939,-2862.695734507648,-2291.354512908265,-2342.065102451861,-2866.6845098950994,-2772.1413515103,-2465.758062941523,-2990.377470384799,-2895.834312
4O8H,-67.28975160124145,-2623.912302324894,-1114.657926373805,-1521.158397217355,-1565.589757036483,-2006.5008832403707,-1913.47325160127,-1498.300005435241,-1939.211131639101,-1846.1835
4WEE,-138.0199815829564,-3496.931333461973,-2934.373844634321,-2178.132690865463,-2235.073957176307,-2780.2018048740656,-2677.474255582956,-2097.05397559335,-2642.181823291109,-2539.454274
4XDX,7.007041734145301,-1473.848901729704,-2506.760059204111,-1276.543366490898,-1317.573012960417,-1666.1906542519878,-1582.10836026585,-1324.580054694562,-1673.197695986138,-1589.115402
5CMT,-76.51759493180334,-4399.209756846292,-1203.986231927342,-1943.8372773201,-2009.24196114916,-2634.328129444269,-2511.667682931841,-1932.724366217357,-2557.810534512428,-2435.150088
5HB7,-32.63547077911252,-3330.892203498478,-1836.168289372132,-1345.203421943381,-1389.391313585759,-1872.456736653644,-1761.936456779122,-1356.755842806646,-1839.821265874522,-1729.300986
5IG6,64.27347835546837,-2811.762996829728,-696.1757969431166,-1553.895404017935,-1604.155371030628,-2073.266280803255,-1968.263517644555,-1668.428849386097,-2137.5397591587,-2032.536996
5JUG,89.42960534591718,-562.041510865353,-285.1505582810707,-799.8810986289241,-841.0411866766299,-1299.1414710977156,-1208.554354654121,-930.470792022547,-1388.571076443595,-1297.98396
5L87,-6.334501687520507,-793.4796923470726,746.4296792201242,-940.5752868724668,-970.2290223444334,-1245.7918286234665,-1178.298301687521,-963.8945206569128,-1239.457326935946,-1171.9638
5TIF,97.86292548471279,419.9866666140991,-1248.961998173518,-1498.930188948341,-1560.064363734544,-2130.0403565597044,-2015.183660515249,-1657.927289219256,-2227.903282044455,-2113.046586
